"visit_date","source","medium","campaign","visitors_count","leads_count","purch_count","revenue","total_cost"
2023-06-01,yandex,cpc,freemium,132,132,26,1726717,21654
2023-06-01,yandex,cpc,prof-frontend,97,97,15,1430340,57138
2023-06-01,yandex,cpc,prof-python,85,85,12,954735,33026
2023-06-01,vk,cpc,prof-python,99,67,7,588004,2028
2023-06-01,vk,cpc,freemium-frontend,130,84,9,552181,3160
2023-06-01,yandex,cpc,base-python,37,37,8,547928,12524
2023-06-26,admitad,cpa,admitad,131,5,3,402300,0
2023-06-01,vk,cpc,prof-java,87,54,3,383918,3115
2023-06-01,yandex,cpc,prof-java,64,64,5,355987,29490
2023-06-30,admitad,cpa,admitad,92,3,3,335250,0
2023-06-01,yandex,cpc,base-frontend,54,54,4,322155,18061
2023-06-09,telegram,cpp,base-java,5,2,2,302384,0
2023-06-20,telegram,cpp,base-java,4,2,2,302384,0
2023-06-01,vk,cpc,prof-data-analytics,77,57,5,253444,1072
2023-06-01,vk,cpc,freemium-python,67,45,3,249186,980
